FEEC,EE540,Teoria Eletromagnética,U,Segunda,21:00,23:00,FE02,Michel Zamboni Rached,41
FEEC,EE540,Teoria Eletromagnética,U,Quarta,19:00,21:00,FE02,Michel Zamboni Rached,41
FEEC,EE640,Eletrônica Básica II,U,Quarta,21:00,23:00,PE11,Leandro Tiago Manera,41
FEEC,EE640,Eletrônica Básica II,U,Quinta,19:00,21:00,PE11,Leandro Tiago Manera,41
FEEC,EE641,Laboratório de Eletrônica Básica II,O,Quinta,14:00,18:00,LE14,Leandro Tiago Manera,"11, 108"
FEEC,EE641,Laboratório de Eletrônica Básica II,P,Quinta,14:00,18:00,LE14,Leandro Tiago Manera,"11, 108"
FEEC,EE754,Ondas Guiadas,A,Terça,08:00,10:00,FE03,Jose Pissolato Filho,11
FEEC,EE754,Ondas Guiadas,A,Quinta,08:00,10:00,FE03,Jose Pissolato Filho,11
FEEC,EE755,Laboratório de Ondas Guiadas,U,Sexta,19:00,23:00,LE32,Gustavo Fraidenraich,41
FEEC,EE755,Laboratório de Ondas Guiadas,W,Sexta,19:00,23:00,LE32,Gustavo Fraidenraich,41
FEEC,EE755,Laboratório de Ondas Guiadas,X,Terça,19:00,23:00,LE32,Gilliard Nardel Malheiros Silveira,
FEEC,EE755,Laboratório de Ondas Guiadas,Y,Terça,19:00,23:00,LE32,Gilliard Nardel Malheiros Silveira,
FEEC,EE833,Eletrônica de Potência,A,Terça,10:00,12:00,LE18,"Guilherme Henrique Favaro Fuzato, Jose Antenor Pomilio","11, 108"
FEEC,EE833,Eletrônica de Potência,A,Terça,16:00,18:00,FE02,"Guilherme Henrique Favaro Fuzato, Jose Antenor Pomilio","11, 108"
FEEC,EE833,Eletrônica de Potência,B,Terça,16:00,18:00,FE02,"Guilherme Henrique Favaro Fuzato, Jose Antenor Pomilio",11
FEEC,EE833,Eletrônica de Potência,B,Quarta,10:00,12:00,LE18,"Guilherme Henrique Favaro Fuzato, Jose Antenor Pomilio",11
FEEC,EE833,Eletrônica de Potência,U,Terça,16:00,18:00,FE02,"Guilherme Henrique Favaro Fuzato, Jose Antenor Pomilio",41
FEEC,EE833,Eletrônica de Potência,U,Quarta,19:00,21:00,LE18,"Guilherme Henrique Favaro Fuzato, Jose Antenor Pomilio",41
FEEC,EE881,Princípios de Comunicações I,A,Terça,10:00,12:00,FE13,Luiz Cesar Martini,11
FEEC,EE881,Princípios de Comunicações I,A,Quinta,10:00,12:00,FE13,Luiz Cesar Martini,11
FEEC,EE881,Princípios de Comunicações I,B,Terça,10:00,12:00,FE22,Jose Candido Silveira Santos Filho,11
FEEC,EE881,Princípios de Comunicações I,B,Quinta,10:00,12:00,FE22,Jose Candido Silveira Santos Filho,11
FEEC,EE882,Laboratório de Comunicações I,A,Segunda,14:00,18:00,LE34,Michel Daoud Yacoub,11
FEEC,EE882,Laboratório de Comunicações I,B,Segunda,14:00,18:00,LE34,Michel Daoud Yacoub,11
FEEC,EE882,Laboratório de Comunicações I,C,Quarta,14:00,18:00,LE34,Paulo Cardieri,11
FEEC,EE882,Laboratório de Comunicações I,D,Quarta,14:00,18:00,LE34,Paulo Cardieri,11
FEEC,EE883,Tópicos Avançados em Engenharia Elétrica,H,Quinta,16:00,18:00,PE26,Denis Gustavo Fantinato,
FEEC,EE883,Tópicos Avançados em Engenharia Elétrica,P,Quarta,16:00,18:00,PE11,Joao Marcos Travassos Romano,
FEEC,EE883,Tópicos Avançados em Engenharia Elétrica,W,Sexta,10:00,12:00,PE26,Walmir De Freitas Filho,
FEEC,EE892,Tópicos Avançados em Engenharia Elétrica,C,Quinta,19:00,23:00,PE24,Paulo Cardieri,
FEEC,EE991,Tópicos em Engenharia Elétrica,JJ,Quarta,14:00,18:00,PE37,"Gustavo Fraidenraich, Tarcio Andre Dos Santos Barros",
FEEC,EE999,Tópicos em Engenharia Elétrica,PV,Sexta,08:00,12:00,PE35,"Bruno Sanches Masiero, Lucas Rodriguez Forti",
