Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
IA,MU231,MU231 A,Terça,08:00,10:00,DM41,"Carlos Goncalves Machado Neto, Hermilson Garcia Do Nascimento, Suzel Ana Reily"
IA,MU232,MU232 A,Sexta,10:00,12:00,SM01,Claudiney Rodrigues Carrasco
IA,MU234,MU234 A,Terça,10:00,12:00,DM35,Suzel Ana Reily
IA,MU240,MU240 A,Quarta,10:00,12:00,DM35,Luiz Henrique Xavier
IA,MU243,MU243 A,Quarta,16:00,18:00,DM43,Denise Hortencia Lopes Garcia
IA,MU246,MU246 A,Quinta,08:00,10:00,DM35,Denise Hortencia Lopes Garcia
IA,MU247,MU247 A,Quarta,13:00,17:00,DM22,Carlos Fernando Fiorini
IA,MU248,MU248 A,Quarta,13:00,17:00,DM22,Carlos Fernando Fiorini
IA,MU254,MU254 A,Quarta,14:00,16:00,DM35,Lenita Waldige Mendes Nogueira
IA,MU255,MU255 A,Sexta,08:00,10:00,DM01,Francisco Zmekhol Nascimento De Oliveira
IA,MU262,MU262 A,Quinta,08:00,10:00,AD07,Adriana Do Nascimento Araujo Mendes
IA,MU262,MU262 B,Quinta,12:00,14:00,AD07,
IA,MU265,MU265 A,Quarta,14:00,16:00,PB12,Mario Jose Mariano De Campos
IA,MU271,MU271 A,Quarta,14:00,16:00,DM41,Denise Hortencia Lopes Garcia
IA,MU279,MU279 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU289,MU289 A,Segunda,14:00,16:00,DM03,"Adriana Do Nascimento Araujo Mendes, Tadeu Moraes Taffarello"
IA,MU290,MU290 A,Terça,10:00,12:00,PB05,Lenita Waldige Mendes Nogueira
IA,MU293,MU293 A,Terça,10:00,12:00,IA01,Francisco Zmekhol Nascimento De Oliveira
IA,MU320,MU320 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU379,MU379 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU414,MU414 A,Quarta,08:00,10:00,DM35,Francisco Zmekhol Nascimento De Oliveira
IA,MU419,MU419 A,Segunda,16:00,18:00,DM22,Silvia Cordeiro Nassif
IA,MU420,MU420 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU446,MU446 A,Quinta,10:00,12:00,DM22,Denise Hortencia Lopes Garcia
IA,MU448,MU448 A,Quarta,13:00,17:00,DM22,Carlos Fernando Fiorini
IA,MU455,MU455 A,Quinta,10:00,12:00,DM03,Jose Augusto Mannis
IA,MU460,MU460 A,Quarta,08:00,10:00,PB05,Lenita Waldige Mendes Nogueira
IA,MU462,MU462 A,Quarta,17:00,19:00,DM22,Angelo Jose Fernandes
IA,MU471,MU471 A,Sexta,14:00,16:00,DM03,Jose Augusto Mannis
IA,MU479,MU479 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU489,MU489 A,Segunda,14:00,16:00,DM03,"Adriana Do Nascimento Araujo Mendes, Tadeu Moraes Taffarello"
IA,MU493,MU493 A,Sexta,08:00,10:00,PB15,Gilson Uehara Gimenes Antunes
IA,MU520,MU520 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU573,MU573 A,Sexta,10:00,12:00,DM05,Adriana Do Nascimento Araujo Mendes
IA,MU579,MU579 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU612,MU612 A,Segunda,16:00,18:00,DM04,Angelo Jose Fernandes
IA,MU620,MU620 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU660,MU660 A,Quinta,10:00,12:00,PB09,Lars Andreas Hoefs
IA,MU662,MU662 A,Quarta,17:00,19:00,DM22,Angelo Jose Fernandes
IA,MU671,MU671 A,Quarta,16:00,18:00,DM35,Luiz Henrique Xavier
IA,MU673,MU673 A,Sexta,10:00,12:00,DM05,Adriana Do Nascimento Araujo Mendes
IA,MU679,MU679 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU720,MU720 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU779,MU779 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU820,MU820 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU871,MU871 A,Quarta,16:00,18:00,DM35,Luiz Henrique Xavier
IA,MU879,MU879 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
